Run,Seed,Generation,BestPenalty,MeanPenalty,BestHardPenalty
26,2051,1,6438,17588.00625,5700
26,2051,2,3156,14921.125,2300
26,2051,3,490,11976.94375,0
26,2051,4,490,10338.9125,0
26,2051,5,490,9008.4875,0
26,2051,6,490,7864.3125,0
26,2051,7,490,6801.55625,0
26,2051,8,490,5839.21875,0
26,2051,9,490,4923.9375,0
26,2051,10,490,5566.89375,0
26,2051,11,490,5289.56875,0
26,2051,12,490,3895.05,0
26,2051,13,490,3464.76875,0
26,2051,14,490,2660.2875,0
26,2051,15,490,1889.6125,0
26,2051,16,450,1863.9125,0
26,2051,17,450,2293.94375,0
26,2051,18,450,2334.375,0
26,2051,19,450,2488.85625,0
26,2051,20,450,2587.16875,0
26,2051,21,450,2533.54375,0
26,2051,22,450,2234.98125,0
26,2051,23,450,2236.675,0
26,2051,24,450,1532.78125,0
26,2051,25,450,2454.21875,0
26,2051,26,450,2057.9,0
26,2051,27,450,2133.025,0
26,2051,28,450,2022.14375,0
26,2051,29,450,2074.26875,0
26,2051,30,450,1966.85625,0
26,2051,31,450,1852.875,0
26,2051,32,450,2607.45,0
26,2051,33,450,2518.85625,0
26,2051,34,450,2253.11875,0
26,2051,35,450,2266.48125,0
26,2051,36,450,1980.275,0
26,2051,37,450,2266.70625,0
26,2051,38,450,2651.3,0
26,2051,39,450,2218.6375,0
26,2051,40,450,1940.85,0
26,2051,41,450,2084.69375,0
26,2051,42,450,2281.25625,0
26,2051,43,450,2196.7,0
26,2051,44,450,2014.64375,0
26,2051,45,450,1895.45625,0
26,2051,46,450,2548.48125,0
26,2051,47,450,2285.78125,0
26,2051,48,450,1797.4875,0
26,2051,49,450,2336.8,0
26,2051,50,450,2449.08125,0
26,2051,51,450,2539.325,0
26,2051,52,450,2201.28125,0
26,2051,53,450,2150.325,0
26,2051,54,450,1708.05,0
26,2051,55,450,2159.49375,0
26,2051,56,450,2618.2375,0
26,2051,57,450,2424.41875,0
26,2051,58,450,2130.625,0
26,2051,59,450,1955.48125,0
26,2051,60,450,1846.03125,0
26,2051,61,450,1873.45625,0
26,2051,62,450,1822.65,0
26,2051,63,450,2093.58125,0
26,2051,64,450,2633.25,0
26,2051,65,450,2488.975,0
26,2051,66,450,2275.58125,0
26,2051,67,450,1738.01875,0
26,2051,68,450,1749.45,0
26,2051,69,450,1739.3625,0
26,2051,70,450,1796.79375,0
26,2051,71,450,2497.8625,0
26,2051,72,450,2092.7,0
26,2051,73,450,2253.2,0
26,2051,74,450,1908.61875,0
26,2051,75,450,2093.26875,0
26,2051,76,450,2028.49375,0
26,2051,77,450,2166.675,0
26,2051,78,450,2168.33125,0
26,2051,79,450,2123.44375,0
26,2051,80,450,2077.16875,0
26,2051,81,450,1872.88125,0
26,2051,82,450,2137.05625,0
26,2051,83,450,2490.29375,0
26,2051,84,450,2328.8875,0
26,2051,85,450,2067.6625,0
26,2051,86,450,2001.15,0
26,2051,87,450,1978.81875,0
26,2051,88,450,2129.93125,0
26,2051,89,450,2207.65625,0
26,2051,90,450,2651.83125,0
26,2051,91,450,2374.025,0
26,2051,92,450,2290.525,0
26,2051,93,450,1698.175,0
26,2051,94,450,2081.3625,0
26,2051,95,450,2101.56875,0
26,2051,96,450,3024.90625,0
