Run,Seed,Generation,BestPenalty,MeanPenalty,BestHardPenalty
19,2044,1,8782,17774.64375,8100
19,2044,2,6238,15423.94375,5100
19,2044,3,2268,13299.98125,1100
19,2044,4,2268,11603.64375,1100
19,2044,5,850,10104.91875,0
19,2044,6,850,9046.7,0
19,2044,7,850,7406.8625,0
19,2044,8,850,6688.6375,0
19,2044,9,850,5692.75,0
19,2044,10,850,5020.16875,0
19,2044,11,730,4402.00625,0
19,2044,12,730,3535.24375,0
19,2044,13,730,4162.725,0
19,2044,14,644,4252.01875,0
19,2044,15,564,3894.2,0
19,2044,16,564,4211.375,0
19,2044,17,564,4216.2875,0
19,2044,18,564,3262.78125,0
19,2044,19,564,3185.63125,0
19,2044,20,564,2534.15,0
19,2044,21,564,2167.73125,0
19,2044,22,564,2262.4875,0
19,2044,23,564,2467.975,0
19,2044,24,564,1852.75625,0
19,2044,25,564,1923.1,0
19,2044,26,564,2255.89375,0
19,2044,27,564,2306.75625,0
19,2044,28,532,2364.6375,0
19,2044,29,532,2683.96875,0
19,2044,30,532,2512.625,0
19,2044,31,532,2382.15,0
19,2044,32,532,2170.35,0
19,2044,33,532,2535.68125,0
19,2044,34,532,2309.7875,0
19,2044,35,532,3151.44375,0
19,2044,36,532,3228.6625,0
19,2044,37,532,2157.85,0
19,2044,38,532,2468.1375,0
19,2044,39,532,2824.3375,0
19,2044,40,532,2693.21875,0
19,2044,41,532,1892.4125,0
19,2044,42,532,1894.40625,0
19,2044,43,532,2244.2625,0
19,2044,44,532,1879.025,0
19,2044,45,532,2498.8125,0
19,2044,46,532,2005.10625,0
19,2044,47,532,2060.8375,0
19,2044,48,532,1921.35,0
19,2044,49,532,2415.30625,0
19,2044,50,532,2141.2625,0
19,2044,51,532,2000.13125,0
19,2044,52,532,1949.4875,0
19,2044,53,532,2171.4375,0
19,2044,54,532,2128.34375,0
19,2044,55,532,2082.84375,0
19,2044,56,532,1821.0625,0
19,2044,57,532,2078.55,0
19,2044,58,532,2411.95,0
19,2044,59,532,2266.375,0
19,2044,60,532,2006.28125,0
19,2044,61,532,2571.60625,0
19,2044,62,532,2844,0
19,2044,63,532,2207.30625,0
19,2044,64,532,2097.675,0
19,2044,65,532,2313.4375,0
19,2044,66,532,2251.7125,0
19,2044,67,532,2126.78125,0
19,2044,68,532,2272.13125,0
19,2044,69,532,2170.48125,0
19,2044,70,532,2295.875,0
19,2044,71,532,2246.76875,0
19,2044,72,532,2143.44375,0
19,2044,73,532,2009.5875,0
19,2044,74,532,2233.36875,0
19,2044,75,532,2389.11875,0
19,2044,76,532,2448.69375,0
19,2044,77,532,2316.08125,0
19,2044,78,532,2213.6625,0
19,2044,79,532,2467.6875,0
19,2044,80,532,2517.9875,0
19,2044,81,532,2671.48125,0
19,2044,82,532,2422.0875,0
19,2044,83,532,2170.475,0
19,2044,84,532,2020.69375,0
19,2044,85,532,2168.33125,0
19,2044,86,532,2012.75625,0
19,2044,87,532,2265.3125,0
19,2044,88,532,2239.19375,0
19,2044,89,532,2028.8875,0
19,2044,90,532,2236.04375,0
19,2044,91,532,2251.775,0
19,2044,92,532,1926.63125,0
19,2044,93,532,2111.3125,0
19,2044,94,532,2310.94375,0
19,2044,95,532,2401.59375,0
19,2044,96,532,2013.04375,0
19,2044,97,532,2738.1625,0
19,2044,98,532,2003.85625,0
19,2044,99,532,1772.125,0
19,2044,100,532,2303.3,0
19,2044,101,532,2082.0125,0
19,2044,102,532,1751.94375,0
19,2044,103,532,2111.975,0
19,2044,104,532,1876.69375,0
19,2044,105,532,2152.9625,0
19,2044,106,532,2264.1625,0
19,2044,107,532,2421.55,0
19,2044,108,532,2177.55,0
19,2044,109,532,1992.94375,0
19,2044,110,532,2035.25,0
19,2044,111,532,2540.025,0
19,2044,112,532,2271.6875,0
19,2044,113,532,2424.61875,0
19,2044,114,532,2036.625,0
19,2044,115,532,2082.2625,0
19,2044,116,532,2192.1,0
19,2044,117,532,2583.4,0
19,2044,118,532,2067.13125,0
19,2044,119,532,2351.64375,0
19,2044,120,532,2436.975,0
19,2044,121,532,2220.575,0
19,2044,122,532,2371.75625,0
19,2044,123,532,2064.025,0
19,2044,124,532,2472.03125,0
19,2044,125,532,2017.24375,0
19,2044,126,532,1936.3625,0
19,2044,127,532,2216.14375,0
19,2044,128,532,1735.45,0
19,2044,129,532,2106.79375,0
19,2044,130,532,2529.13125,0
19,2044,131,532,2206.75625,0
19,2044,132,532,2206.7125,0
19,2044,133,532,2223,0
19,2044,134,532,2385.6,0
19,2044,135,532,2208.4625,0
19,2044,136,532,2356.79375,0
19,2044,137,532,2131.46875,0
19,2044,138,532,2088.71875,0
19,2044,139,532,1646.6,0
19,2044,140,532,2241.91875,0
19,2044,141,532,1987.59375,0
19,2044,142,532,2050.2625,0
19,2044,143,532,2203.2375,0
19,2044,144,532,2604.7125,0
19,2044,145,532,2470.5625,0
19,2044,146,532,2313.65,0
19,2044,147,532,1984.66875,0
19,2044,148,532,2316.7125,0
19,2044,149,532,1977.7625,0
19,2044,150,532,2109.25,0
19,2044,151,532,2072.58125,0
19,2044,152,532,1981.3875,0
19,2044,153,532,2335.81875,0
19,2044,154,532,2125.85,0
19,2044,155,532,2000.6875,0
19,2044,156,532,2100.03125,0
19,2044,157,532,1695.825,0
19,2044,158,532,2637.59375,0
19,2044,159,532,2190.66875,0
19,2044,160,532,2225.6875,0
19,2044,161,532,2025.50625,0
19,2044,162,532,1936.21875,0
19,2044,163,532,2384.94375,0
19,2044,164,532,2627.48125,0
19,2044,165,532,1921.91875,0
19,2044,166,532,2270.25,0
19,2044,167,532,2335.925,0
19,2044,168,532,2041.875,0
19,2044,169,532,2571.6375,0
19,2044,170,532,2471.425,0
19,2044,171,532,1995.05,0
19,2044,172,532,2730.69375,0
19,2044,173,532,2375.31875,0
19,2044,174,532,2186.66875,0
19,2044,175,532,2252.73125,0
19,2044,176,532,2124.6875,0
19,2044,177,532,2206.375,0
19,2044,178,532,2678.425,0
